"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Tèrra Aventura : Cadouin par un pélerin","ASCAQU024V50F9NW","Produit","Pratique",,"Le Buisson-de-Cadouin","24480","24068","Dordogne","Nouvelle-Aquitaine","44.8117729","0.87474583","https://www.terra-aventura.fr/caches/cadouin-par-un-pelerin","Pays de Bergerac, Vignoble & Bastides","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Secrets d'Eymet","ASCAQU024V50F9O6","Produit","Pratique",,"Eymet","24500","24167","Dordogne","Nouvelle-Aquitaine","44.6685822","0.397723","https://www.terra-aventura.fr/caches/secrets-deymet","Pays de Bergerac, Vignoble & Bastides","2026-04-18T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Le Monstre des ""Malpas""","ASCAQU024V50F9O9","Produit","Pratique",,"Lalinde","24150","24223","Dordogne","Nouvelle-Aquitaine","44.838113","0.73947699","https://www.terra-aventura.fr/caches/le-monstre-des-malpas","Pays de Bergerac, Vignoble & Bastides","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Voyage dans le Moustérien","ASCAQU024V50F9NL","Produit","Pratique",,"Peyzac-le-Moustier","24620","24326","Dordogne","Nouvelle-Aquitaine","44.9939821","1.05954128","https://www.terra-aventura.fr/","OT Lascaux Dordogne Vallée Vézère","2026-05-16T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Géometrix à Audrix","ASCAQU024V50F9OV","Produit","Pratique",,"Audrix","24260","24015","Dordogne","Nouvelle-Aquitaine","44.8800692","0.94721965","https://www.terra-aventura.fr/","OT Lascaux Dordogne Vallée Vézère","2026-05-13T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura: Domme quelle histoire !","ASCAQU024V50F9OR","Produit","Pratique",,"Domme","24250","24152","Dordogne","Nouvelle-Aquitaine","44.7989348","1.22146061",,"Périgord Noir Vallée Dordogne","2024-11-07T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : l'épée de Zigomatix","ASCAQU024V50F9OC","Produit","Pratique",,"Saint-Pardoux-et-Vielvic","24170","24478","Dordogne","Nouvelle-Aquitaine","44.7669505","0.9581751",,"Périgord Noir Vallée Dordogne","2024-11-07T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Maximini Sensations...","ASCAQU024V50FE2O","Produit","Pratique",,"Saint-Mesmin","24270","24464","Dordogne","Nouvelle-Aquitaine","45.352666","1.205815","https://www.naturellementperigord.fr/","Isle-Auvézère","2025-07-10T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Balade en Tocane","ASCAQU024V50D6BF","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Tocane-Saint-Apre","24350","24553","Dordogne","Nouvelle-Aquitaine","45.2535892","0.49682845","https://www.perigord-inattendu.fr/","Val de Dronne","2026-01-01T00:00:00.000Z","2026-06-23T02:17:22.254Z"
"Chasse au trésor Terra Aventura","5738207","Lieu","Site sportif, récréatif et de loisirs",,"La Rochelle","17000","17300","Charente-Maritime","Nouvelle-Aquitaine","46.155136","-1.149746","http://www.terra-aventura.fr/","Nous La Rochelle","2024-07-24T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : ""L'envol de Coco""","ASCAQU033V50OP2O","Produit","Pratique",,"Braud-et-Saint-Louis","33820","33073","Gironde","Nouvelle-Aquitaine","45.2851944","-0.6987174","https://www.terra-aventura.fr/","OT Saint-Ciers-sur-Gironde","2026-03-05T00:00:00.000Z","2026-01-01T00:00:00.000Z"
